# Zaehlrohrwinkel	Rate bei 35kV mit Zn
# 2*theta/grad	R(35kV)/Imp/s
33.2	27.0
33.4	31.0
33.6	30.0
33.8	29.0
34.0	32.0
34.2	29.0
34.4	32.0
34.5	30.0
34.8	29.0
35.0	28.0
35.2	30.0
35.4	30.0
35.5	28.0
35.8	27.0
36.0	27.0
36.2	29.0
36.4	26.0
36.5	29.0
36.8	36.0
37.0	45.0
37.2	47.0
37.4	43.0
37.5	46.0
37.8	45.0
38.0	45.0
38.2	44.0
38.4	49.0
38.6	47.0
38.8	43.0
39.0	47.0
39.2	48.0
39.4	63.0
39.5	91.0
39.8	533.0
40.0	605.0
40.2	479.0
40.4	253.0
40.5	152.0
40.8	75.0
41.0	60.0
