# Zaehlrohrwinkel	Rate bei 35kV mit Zr
# 2*theta/grad	R(35kV)/Imp/s
15.6	55.0
15.8	63.0
16.0	62.0
16.2	63.0
16.4	64.0
16.6	65.0
16.7	64.0
17.0	60.0
17.2	65.0
17.4	63.0
17.6	62.0
17.7	61.0
18.0	65.0
18.2	58.0
18.4	58.0
18.6	57.0
18.8	56.0
19.0	63.0
19.2	76.0
19.4	95.0
19.6	104.0
19.8	110.0
20.0	112.0
20.2	115.0
20.4	109.0
20.6	108.0
20.8	115.0
21.0	110.0
21.2	115.0
21.4	108.0
21.6	105.0
21.8	105.0
22.0	102.0
22.2	103.0
22.4	101.0
22.6	105.0
22.8	100.0
23.0	98.0
23.2	94.0
23.4	96.0
23.6	95.0
