# Zaehlrohrwinkel	Rate bei 35kV mit Sr
# 2*theta/grad	R(35kV)/Imp/s
18.0	30.0
18.2	32.0
18.4	32.0
18.6	30.0
18.8	32.0
19.0	31.0
19.2	28.0
19.4	28.0
19.6	30.0
19.8	28.0
20.0	27.0
20.2	28.0
20.4	28.0
20.6	29.0
20.8	28.0
21.0	25.0
21.2	29.0
21.4	36.0
21.6	52.0
21.8	64.0
22.0	76.0
22.2	78.0
22.4	76.0
22.6	76.0
22.8	75.0
23.0	74.0
23.2	76.0
23.4	73.0
23.6	71.0
23.8	69.0
24.0	68.0
24.2	65.0
24.4	64.0
24.6	66.0
24.8	61.0
25.0	61.0
25.2	58.0
25.4	57.0
25.6	54.0
25.8	55.0
26.0	46.0
