# Zaehlrohrwinkel	Rate bei 35kV
# 2*theta/grad	R(35kV)/Imp/s
26.0	27.0
26.1	29.0
26.2	28.0
26.3	30.0
26.4	31.0
26.5	29.0
26.6	28.0
26.7	31.0
26.8	36.0
26.9	41.0
27.0	40.0
27.1	43.0
27.2	50.0
27.3	56.0
27.4	58.0
27.5	67.0
27.6	80.0
27.7	83.0
27.8	92.0
27.9	96.0
28.0	100.0
28.1	108.0
28.2	129.0
28.3	129.0
28.4	138.0
28.5	133.0
28.6	120.0
28.7	116.0
28.8	106.0
28.9	91.0
29.0	86.0
29.1	83.0
29.2	71.0
29.3	62.0
29.4	61.0
29.5	44.0
29.6	35.0
29.7	32.0
29.8	24.0
29.9	35.0
30.0	29.0
